"","Well","Adjusted_Absorbance","Cell_Type","Dilution"
"1","A1",45634.0833333333,"Healthy",2e+06
"2","A2",27520.0833333333,"Healthy",1e+06
"3","A3",15916.0833333333,"Healthy",5e+05
"4","A4",13197.0833333333,"Healthy",250000
"5","A5",9155.08333333333,"Healthy",125000
"6","A6",6470.08333333333,"Healthy",62500
"7","A7",5437.08333333333,"Healthy",31250
"8","A8",5052.08333333333,"Healthy",15625
"9","A9",4754.08333333333,"Healthy",7812.5
"10","A10",4476.08333333333,"Healthy",3906.25
"11","B1",45334.0833333333,"Healthy",2e+06
"12","B2",28084.0833333333,"Healthy",1e+06
"13","B3",18008.0833333333,"Healthy",5e+05
"14","B4",12329.0833333333,"Healthy",250000
"15","B5",8781.08333333333,"Healthy",125000
"16","B6",6410.08333333333,"Healthy",62500
"17","B7",5203.08333333333,"Healthy",31250
"18","B8",4970.08333333333,"Healthy",15625
"19","B9",4246.08333333333,"Healthy",7812.5
"20","B10",3994.08333333333,"Healthy",3906.25
"21","C1",45550.0833333333,"Healthy",2e+06
"22","C2",31626.0833333333,"Healthy",1e+06
"23","C3",23266.0833333333,"Healthy",5e+05
"24","C4",9297.08333333333,"Healthy",250000
"25","C5",8270.08333333333,"Healthy",125000
"26","C6",7689.08333333333,"Healthy",62500
"27","C7",4553.08333333333,"Healthy",31250
"28","C8",3769.08333333333,"Healthy",15625
"29","C9",3205.08333333333,"Healthy",7812.5
"30","C10",4039.08333333333,"Healthy",3906.25
"31","D1",29587.0833333333,"Diseased",2e+06
"32","D2",29381.0833333333,"Diseased",1e+06
"33","D3",16554.0833333333,"Diseased",5e+05
"34","D4",9426.08333333333,"Diseased",250000
"35","D5",13295.0833333333,"Diseased",125000
"36","D6",4850.08333333333,"Diseased",62500
"37","D7",501.083333333334,"Diseased",31250
"38","D8",1137.08333333333,"Diseased",15625
"39","D9",1321.08333333333,"Diseased",7812.5
"40","D10",-677.916666666666,"Diseased",3906.25
"41","E1",54460.0833333333,"Diseased",2e+06
"42","E2",9691.08333333333,"Diseased",1e+06
"43","E3",24169.0833333333,"Diseased",5e+05
"44","E4",16433.0833333333,"Diseased",250000
"45","E5",5881.08333333333,"Diseased",125000
"46","E6",1585.08333333333,"Diseased",62500
"47","E7",4071.08333333333,"Diseased",31250
"48","E8",261.083333333334,"Diseased",15625
"49","E9",980.083333333334,"Diseased",7812.5
"50","E10",1684.08333333333,"Diseased",3906.25
"51","F1",53521.0833333333,"Diseased",2e+06
"52","F2",25986.0833333333,"Diseased",1e+06
"53","F3",15551.0833333333,"Diseased",5e+05
"54","F4",12342.0833333333,"Diseased",250000
"55","F5",8981.08333333333,"Diseased",125000
"56","F6",3653.08333333333,"Diseased",62500
"57","F7",4530.08333333333,"Diseased",31250
"58","F8",1216.08333333333,"Diseased",15625
"59","F9",1051.08333333333,"Diseased",7812.5
"60","F10",1995.08333333333,"Diseased",3906.25
"61","A1",16056.0833333333,"Healthy",2e+06
"62","A2",11000.0833333333,"Healthy",1e+06
"63","A3",9743.08333333333,"Healthy",5e+05
"64","A4",7539.08333333333,"Healthy",250000
"65","A5",5716.08333333333,"Healthy",125000
"66","A6",3624.08333333333,"Healthy",62500
"67","A7",2888.08333333333,"Healthy",31250
"68","A8",2157.08333333333,"Healthy",15625
"69","A9",3089.08333333333,"Healthy",7812.5
"70","A10",1850.08333333333,"Healthy",3906.25
"71","B1",16069.0833333333,"Healthy",2e+06
"72","B2",11289.0833333333,"Healthy",1e+06
"73","B3",8544.08333333333,"Healthy",5e+05
"74","B4",4791.08333333333,"Healthy",250000
"75","B5",2748.08333333333,"Healthy",125000
"76","B6",4214.08333333333,"Healthy",62500
"77","B7",2992.08333333333,"Healthy",31250
"78","B8",2214.08333333333,"Healthy",15625
"79","B9",1343.08333333333,"Healthy",7812.5
"80","B10",6973.08333333333,"Healthy",3906.25
"81","C1",20104.0833333333,"Healthy",2e+06
"82","C2",10680.0833333333,"Healthy",1e+06
"83","C3",8235.08333333333,"Healthy",5e+05
"84","C4",5576.08333333333,"Healthy",250000
"85","C5",4348.08333333333,"Healthy",125000
"86","C6",3273.08333333333,"Healthy",62500
"87","C7",2748.08333333333,"Healthy",31250
"88","C8",524.083333333334,"Healthy",15625
"89","C9",1422.08333333333,"Healthy",7812.5
"90","C10",3327.08333333333,"Healthy",3906.25
"91","D1",13265.0833333333,"Diseased",2e+06
"92","D2",8649.08333333333,"Diseased",1e+06
"93","D3",246.083333333334,"Diseased",5e+05
"94","D4",613.083333333334,"Diseased",250000
