,Well,Absorbance,Cell_Type,Dilution,GROUP ID
1,A1,2.49175,Healthy,2e+06,G1 & G2
2,A2,1.96275,Healthy,1e+06,G1 & G2
3,A3,1.23175,Healthy,5e+05,G1 & G2
4,A4,0.81075,Healthy,250000,G1 & G2
5,A5,0.26875,Healthy,125000,G1 & G2
6,A6,0.14275,Healthy,62500,G1 & G2
7,A7,0.07375,Healthy,31250,G1 & G2
8,A8,0.02975,Healthy,15625,G1 & G2
9,A9,0.02975,Healthy,7812.5,G3 & G4
10,A10,0.02275,Healthy,3906.25,G3 & G4
11,B1,2.38075,Healthy,2e+06,G3 & G4
12,B2,2.04775,Healthy,1e+06,G3 & G4
13,B3,1.16275,Healthy,5e+05,G3 & G4
14,B4,0.52075,Healthy,250000,G3 & G4
15,B5,0.23175,Healthy,125000,G3 & G4
16,B6,0.12175,Healthy,62500,G3 & G4
17,B7,0.05675,Healthy,31250,G5 & G6
18,B8,0.04275,Healthy,15625,G5 & G6
19,B9,0.01975,Healthy,7812.5,G5 & G6
20,B10,0.01475,Healthy,3906.25,G5 & G6
21,C1,2.52975,Healthy,2e+06,G5 & G6
22,C2,2.14175,Healthy,1e+06,G5 & G6
23,C3,1.09775,Healthy,5e+05,G5 & G6
24,C4,0.50075,Healthy,250000,G5 & G6
25,C5,0.30875,Healthy,125000,G7 & G8
26,C6,0.11775,Healthy,62500,G7 & G8
27,C7,0.04275,Healthy,31250,G7 & G8
28,C8,0.06075,Healthy,15625,G7 & G8
29,C9,0.02075,Healthy,7812.5,G7 & G8
30,C10,0.01675,Healthy,3906.25,G7 & G8
31,D1,0.71775,Diseased,2e+06,G7 & G8
32,D2,0.24775,Diseased,1e+06,G7 & G8
33,D3,0.22775,Diseased,5e+05,G9 & G10
34,D4,0.04475,Diseased,250000,G9 & G10
35,D5,-0.00825,Diseased,125000,G9 & G10
36,D6,-0.03225,Diseased,62500,G9 & G10
37,D7,-0.05125,Diseased,31250,G9 & G10
38,D8,-0.06625,Diseased,15625,G9 & G10
39,D9,-0.04925,Diseased,7812.5,G9 & G10
40,D10,-0.05625,Diseased,3906.25,G9 & G10
41,E1,0.68775,Diseased,2e+06,G11 & G12
42,E2,0.14575,Diseased,1e+06,G11 & G12
43,E3,0.13375,Diseased,5e+05,G11 & G12
44,E4,0.02475,Diseased,250000,G11 & G12
45,E5,-0.02825,Diseased,125000,G11 & G12
46,E6,-0.03725,Diseased,62500,G11 & G12
47,E7,-0.06825,Diseased,31250,G11 & G12
48,E8,-0.05525,Diseased,15625,G11 & G12
49,E9,-0.06425,Diseased,7812.5,G13 & G14
50,E10,-0.07025,Diseased,3906.25,G13 & G14
51,F1,1.00175,Diseased,2e+06,G13 & G14
52,F2,0.38575,Diseased,1e+06,G13 & G14
53,F3,0.16775,Diseased,5e+05,G13 & G14
54,F4,0.07175,Diseased,250000,G13 & G14
55,F5,0.01275,Diseased,125000,G13 & G14
56,F6,-0.02725,Diseased,62500,G13 & G14
57,F7,-0.05225,Diseased,31250,G15 & G16
58,F8,-0.05525,Diseased,15625,G15 & G16
59,F9,-0.06325,Diseased,7812.5,G15 & G16
60,F10,-0.05025,Diseased,3906.25,G15 & G16
61,A1,2.427666667,Healthy,2e+06,G15 & G16
62,A2,2.288666667,Healthy,1e+06,G15 & G16
63,A3,1.070666667,Healthy,5e+05,G15 & G16
64,A4,0.536666667,Healthy,250000,G15 & G16
65,A5,0.180666667,Healthy,125000,G17 & G18
66,A6,0.064666667,Healthy,62500,G17 & G18
67,A7,0.020666667,Healthy,31250,G17 & G18
68,A8,0.047666667,Healthy,15625,G17 & G18
69,A9,0.006666667,Healthy,7812.5,G17 & G18
70,A10,-0.004333333,Healthy,3906.25,G17 & G18
71,B1,2.308666667,Healthy,2e+06,G17 & G18
72,B2,0.665666667,Healthy,1e+06,G17 & G18
73,B3,0.390666667,Healthy,5e+05,G19 & G20
74,B4,0.169666667,Healthy,250000,G19 & G20
75,B5,0.045666667,Healthy,125000,G19 & G20
76,B6,0.016666667,Healthy,62500,G19 & G20
77,B7,0.003666667,Healthy,31250,G19 & G20
78,B8,-0.001333333,Healthy,15625,G19 & G20
79,B9,-0.022333333,Healthy,7812.5,G19 & G20
80,B10,-0.007333333,Healthy,3906.25,G19 & G20
81,C1,1.990666667,Healthy,2e+06,G21 & G22
82,C2,1.376666667,Healthy,1e+06,G21 & G22
83,C3,0.484666667,Healthy,5e+05,G21 & G22
84,C4,0.267666667,Healthy,250000,G21 & G22
85,C5,0.064666667,Healthy,125000,G21 & G22
86,C6,0.011666667,Healthy,62500,G21 & G22
87,C7,0.012666667,Healthy,31250,G21 & G22
88,C8,-0.001333333,Healthy,15625,G21 & G22
89,C9,-0.029333333,Healthy,7812.5,G23 & G24
90,C10,-0.015333333,Healthy,3906.25,G23 & G24
91,D1,0.912666667,Diseased,2e+06,G23 & G24
92,D2,0.824666667,Diseased,1e+06,G23 & G24
93,D3,0.417666667,Diseased,5e+05,G23 & G24
94,D4,0.022666667,Diseased,250000,G23 & G24
95,D5,-0.024333333,Diseased,125000,G23 & G24
96,D6,-0.056333333,Diseased,62500,G23 & G24
97,D7,-0.067333333,Diseased,31250,G31 & G32
98,D8,-0.094333333,Diseased,15625,G31 & G32
99,D9,-0.100333333,Diseased,7812.5,G31 & G32
100,D10,-0.075333333,Diseased,3906.25,G31 & G32
101,E1,1.039666667,Diseased,2e+06,G31 & G32
102,E2,1.059666667,Diseased,1e+06,G31 & G32
103,E3,0.800666667,Diseased,5e+05,G31 & G32
104,E4,0.199666667,Diseased,250000,G31 & G32
105,E5,0.214666667,Diseased,125000,G33 & G34
106,E6,-0.077333333,Diseased,62500,G33 & G34
107,E7,-0.067333333,Diseased,31250,G33 & G34
108,E8,-0.084333333,Diseased,15625,G33 & G34
109,E9,-0.102333333,Diseased,7812.5,G33 & G34
110,E10,-0.090333333,Diseased,3906.25,G33 & G34
111,F1,0.940666667,Diseased,2e+06,G33 & G34
112,F2,0.361666667,Diseased,1e+06,G33 & G34
113,F3,0.318666667,Diseased,5e+05,G35 & G36
114,F4,0.127666667,Diseased,250000,G35 & G36
115,F5,-0.020333333,Diseased,125000,G35 & G36
116,F6,-0.022333333,Diseased,62500,G35 & G36
117,F7,-0.045333333,Diseased,31250,G35 & G36
118,F8,-0.075333333,Diseased,15625,G35 & G36
119,F9,-0.101333333,Diseased,7812.5,G35 & G36
120,F10,-0.093333333,Diseased,3906.25,G35 & G36
121,A1,2.4515,Healthy,2e+06,G37 & G38
122,A2,1.9225,Healthy,1e+06,G37 & G38
123,A3,1.1915,Healthy,5e+05,G37 & G38
124,A4,0.7705,Healthy,250000,G37 & G38
125,A5,0.2285,Healthy,125000,G37 & G38
126,A6,0.1025,Healthy,62500,G37 & G38
127,A7,0.0335,Healthy,31250,G37 & G38
128,A8,-0.0105,Healthy,15625,G37 & G38
129,A9,-0.0105,Healthy,7812.5,G39 & G40
130,A10,-0.0175,Healthy,3906.25,G39 & G40
131,B1,2.3405,Healthy,2e+06,G39 & G40
132,B2,2.0075,Healthy,1e+06,G39 & G40
133,B3,1.1225,Healthy,5e+05,G39 & G40
134,B4,0.4805,Healthy,250000,G39 & G40
135,B5,0.1915,Healthy,125000,G39 & G40
136,B6,0.0815,Healthy,62500,G39 & G40
137,B7,0.0165,Healthy,31250,G41 & G42
138,B8,0.0025,Healthy,15625,G41 & G42
139,B9,-0.0205,Healthy,7812.5,G41 & G42
140,B10,-0.0255,Healthy,3906.25,G41 & G42
141,C1,2.4895,Healthy,2e+06,G41 & G42
142,C2,2.1015,Healthy,1e+06,G41 & G42
143,C3,1.0575,Healthy,5e+05,G41 & G42
144,C4,0.4605,Healthy,250000,G41 & G42
145,C5,0.2685,Healthy,125000,G43 & G44
146,C6,0.0775,Healthy,62500,G43 & G44
147,C7,0.0025,Healthy,31250,G43 & G44
148,C8,0.0205,Healthy,15625,G43 & G44
149,C9,-0.0195,Healthy,7812.5,G43 & G44
150,C10,-0.0235,Healthy,3906.25,G43 & G44
151,D1,0.7415,Diseased,2e+06,G43 & G44
152,D2,0.2465,Diseased,1e+06,G43 & G44
153,D3,0.2365,Diseased,5e+05,G45 & G46
154,D4,0.0065,Diseased,250000,G45 & G46
155,D5,-0.0145,Diseased,125000,G45 & G46
156,D6,-0.0645,Diseased,62500,G45 & G46
157,D7,-0.0985,Diseased,31250,G45 & G46
158,D8,-0.0915,Diseased,15625,G45 & G46
159,D9,-0.1095,Diseased,7812.5,G45 & G46
160,D10,-0.1015,Diseased,3906.25,G45 & G46
161,E1,0.4835,Diseased,2e+06,G47 & G48
162,E2,0.1135,Diseased,1e+06,G47 & G48
163,E3,0.0295,Diseased,5e+05,G47 & G48
164,E4,5e-04,Diseased,250000,G47 & G48
165,E5,-0.0695,Diseased,125000,G47 & G48
166,E6,-0.0585,Diseased,62500,G47 & G48
167,E7,-0.0975,Diseased,31250,G47 & G48
168,E8,-0.1045,Diseased,15625,G47 & G48
169,E9,-0.1045,Diseased,7812.5,G49 & G50
170,E10,-0.1075,Diseased,3906.25,G49 & G50
171,F1,0.7425,Diseased,2e+06,G49 & G50
172,F2,0.4365,Diseased,1e+06,G49 & G50
173,F3,0.1375,Diseased,5e+05,G49 & G50
174,F4,0.0125,Diseased,250000,G49 & G50
175,F5,-0.0555,Diseased,125000,G49 & G50
176,F6,-0.0705,Diseased,62500,G49 & G50
177,F7,-0.1065,Diseased,31250,G51 & G52
178,F8,-0.1135,Diseased,15625,G51 & G52
179,F9,-0.1075,Diseased,7812.5,G51 & G52
180,F10,-0.0905,Diseased,3906.25,G51 & G52
181,A1,3.191333333,Healthy,2e+06,G51 & G52
182,A2,1.941333333,Healthy,1e+06,G51 & G52
183,A3,2.023333333,Healthy,5e+05,G51 & G52
184,A4,1.759333333,Healthy,250000,G51 & G52
185,A5,0.737333333,Healthy,125000,G53 & G54
186,A6,0.400333333,Healthy,62500,G53 & G54
187,A7,0.208333333,Healthy,31250,G53 & G54
188,A8,0.124333333,Healthy,15625,G53 & G54
189,A9,0.046333333,Healthy,7812.5,G53 & G54
190,A10,0.039333333,Healthy,3906.25,G53 & G54
191,B1,2.906333333,Healthy,2e+06,G53 & G54
192,B2,1.961333333,Healthy,1e+06,G53 & G54
193,B3,1.600333333,Healthy,5e+05,G55 & G56
194,B4,1.129333333,Healthy,250000,G55 & G56
195,B5,0.697333333,Healthy,125000,G55 & G56
196,B6,0.406333333,Healthy,62500,G55 & G56
197,B7,0.121333333,Healthy,31250,G55 & G56
198,B8,0.074333333,Healthy,15625,G55 & G56
199,B9,0.032333333,Healthy,7812.5,G55 & G56
200,B10,0.007333333,Healthy,3906.25,G55 & G56
201,C1,2.583333333,Healthy,2e+06,G57 & G58
202,C2,1.949333333,Healthy,1e+06,G57 & G58
203,C3,1.595333333,Healthy,5e+05,G57 & G58
204,C4,1.693333333,Healthy,250000,G57 & G58
205,C5,0.716333333,Healthy,125000,G57 & G58
206,C6,0.275333333,Healthy,62500,G57 & G58
207,C7,0.144333333,Healthy,31250,G57 & G58
208,C8,0.076333333,Healthy,15625,G57 & G58
209,C9,0.031333333,Healthy,7812.5,G59 & G60
210,C10,-0.000666667,Healthy,3906.25,G59 & G60
211,D1,0.964333333,Diseased,2e+06,G59 & G60
212,D2,0.817333333,Diseased,1e+06,G59 & G60
